url,Image,course_title,Puan,,udsronly4,level,udsronly6,coursecardinstructorsmoduleinstructorlistcjtfw,review_parantezli,review,price_tl,price
https://www.youtube.com/watch?v=Di_Wus25zLc,,Android Programlama Yeni Başlayanlar İçin,,,,Yeni Başlayan,,,,149,,
https://www.youtube.com/watch?v=eiKNzEVjm_I,,Android Programlama | 6. Uygulama TEST  | Kamera Yapımı,,,,Tüm Düzeyler,,,,4,,
https://www.youtube.com/watch?v=gWICOE31IZ8,,Sıfırdan Android Programlama -5- Button Kullanımı,,,,Yeni Başlayan,,,,5,,
https://www.youtube.com/watch?v=l047epWIzbY,,[Ders 1.1] - Android Programlama Dersleri - Kurulum,,,,Tüm Düzeyler,,,,3,,
https://www.youtube.com/watch?v=Mxenj0oYKJA,,🔹 Kotlin Programlama Temelleri #2 | Android Geliştirme,,,,Tüm Düzeyler,,,,2,,
https://www.youtube.com/watch?v=4p4rcj3pu4U,,Android Programlama Ders 17 if else koşulu,,,,Tüm Düzeyler,,,,4,,
https://www.youtube.com/watch?v=d7s8nBbwQFc,,Android Programlama | 8. Uygulama TEST | Player,,,,Tüm Düzeyler,,,,0,,
https://www.youtube.com/watch?v=u2TTitDMuTQ,,Android Programlama Ders18: Else Statements,,,,Tüm Düzeyler,,,,7,,
https://www.youtube.com/watch?v=CK95SczNSyA,,Android Programlama 1.Ders -  ADT ve Eclipse Kurulumu,,,,Tüm Düzeyler,,,,126,,
https://www.youtube.com/watch?v=UWuu-TL2LkU,,Android Programlama | 2. Uygulama TEST | Dört İşlem Uygulaması,,,,Tüm Düzeyler,,,,2,,
https://www.youtube.com/watch?v=sa-hZkv7F4g,,Java ile Android Programlama Kitap Tanıtım Klibi,,,,Tüm Düzeyler,,,,9,,
https://www.youtube.com/watch?v=b9zBkmtV86w,,Android Programlama Ders 2 İlk Android Projemiz ve Çalışma Ortamı,,,,Tüm Düzeyler,,,,0,,
https://www.youtube.com/watch?v=BoJO4L9OPL0,,"Mobil (Android) Programlama, ödev02: bilmece uygulaması",,,,Tüm Düzeyler,,,,0,,
https://www.youtube.com/watch?v=QJqBVEeeZpU,,ANDROİD PROGRAMLAMA EĞİTİMİ - 1.DERS,,,,Tüm Düzeyler,,,,41,,
https://www.youtube.com/watch?v=LpjqSUiPc44,,Uygulamalarla Android Programlama Kitabı (Çekiliş),,,,Tüm Düzeyler,,,,2,,
https://www.youtube.com/watch?v=E8G8GJfTko0,,Android Programlama Ders14: onClick,,,,Tüm Düzeyler,,,,8,,
https://www.youtube.com/watch?v=iM69vvcGJUQ,,Tasarım - Android Programlama - Elektronik Devre ile Senkronizasyon,,,,Tüm Düzeyler,,,,8,,
https://www.youtube.com/watch?v=3v_UT5Nu2A4,,Mobil Android Programlama Uygulama İkonu Belirleme Ödev7,,,,Tüm Düzeyler,,,,1,,
https://www.youtube.com/watch?v=WUTrYTHDgtA,,Android Programlama | 1. Uygulama TEST  | Dört İşlem Uygulaması,,,,Tüm Düzeyler,,,,4,,
https://www.youtube.com/watch?v=n_lzsKVTK20,,02- Android Programlama,,,,Tüm Düzeyler,,,,3,,
https://www.youtube.com/watch?v=OGnUnHp9LmU,,Android Programlama | 10. Uygulama TEST | Sesi Yazdır,,,,Tüm Düzeyler,,,,3,,
https://www.youtube.com/watch?v=1pXzRy0nYvQ,,Android Programlama Ders 19 Renk ayarlaması,,,,Tüm Düzeyler,,,,2,,
https://www.youtube.com/watch?v=oktlWx1kOhM,,"Ertan Köse, Mobil (Android) Programlama, 4 işlem hesap makinesi",,,,Tüm Düzeyler,,,,0,,
https://www.youtube.com/watch?v=98TovCk95E8,,Android Programlama Ders 26 View,,,,Tüm Düzeyler,,,,5,,
https://www.youtube.com/watch?v=GM9mZR1JvVQ,,Android Programlama | 12. Uygulama TEST  | Konuşan Metin,,,,Tüm Düzeyler,,,,0,,
https://www.youtube.com/watch?v=X8KuoVn3Jqs,,Android Programlama 4 Menü oluşturma,,,,Tüm Düzeyler,,,,11,,
https://www.youtube.com/watch?v=QJqBVEeeZpU,,ANDROİD PROGRAMLAMA EĞİTİMİ - 1.DERS,,,,Tüm Düzeyler,,,,41,,
https://www.youtube.com/watch?v=Sr_kR2wJbF0,,"Ertan Köse, Mobil (Android) Programlama, uygulama ikonu belirleme",,,,Tüm Düzeyler,,,,0,,
https://www.youtube.com/watch?v=H15Vd3zGcU8,,Android Programlama Ders 30 Giriş Ekranı 2 Animasyon,,,,Tüm Düzeyler,,,,15,,
https://www.youtube.com/watch?v=kRGybNl0e2Y,,Android Programlama | 16. Uygulama TEST  | Tarayıcı,,,,Tüm Düzeyler,,,,1,,
https://www.youtube.com/watch?v=fhga_7Ax7Y0,,Android ile Mobil Programlama Webineri - 1,,,,Tüm Düzeyler,,,,16,,
https://www.youtube.com/watch?v=8oVuGL_YYo8,,Kodun ötesi serimizin yeni bölümünde süprizler var 😎 #android #kotlin #programlama,,,,Tüm Düzeyler,,,,12,,
https://www.youtube.com/watch?v=5hJGeClPFs8,,Android Kapsayıcılık Konusu Ve Neden Layout Kullanmak Zorunludur? Android programlama Dersleri,,,,Tüm Düzeyler,,,,8,,
https://www.youtube.com/watch?v=p6I5TpWT-zg,,Android Programlama Ders 5 XML referansları ve Değer Atama,,,,Tüm Düzeyler,,,,5,,
https://www.youtube.com/watch?v=F-MLETS13_A,,Sıfırdan Android Programlama -2- XML Giriş,,,,Tüm Düzeyler,,,,9,,
https://www.youtube.com/watch?v=NV0Y-oP2EqQ,,Android Programlama Ders 25 veri göndermek 3,,,,Tüm Düzeyler,,,,3,,
https://www.youtube.com/watch?v=PUMNBHZGSag,,Android programlama Eğitim -1 ',,,,Tüm Düzeyler,,,,6,,
https://www.youtube.com/watch?v=gJc0cdxbaX8,,"Python , Android Stuido ,Programlama Dili ile Android Telefondan Bilgisayar Kapatma Programı Yaptım",,,,Tüm Düzeyler,,,,0,,
https://www.youtube.com/watch?v=ZLgq5_oD_Vw,,"Kemal Efe Tiryakioğlu , Mobil Programlama Ödev 1: Android Studioda Merhaba Dünya!",,,,Tüm Düzeyler,,,,3,,
https://www.youtube.com/watch?v=zBiViIPfHcI,,Mobil (Android) Programlama Ödev Videoları uygulama ikonu:ödev7,,,,Tüm Düzeyler,,,,0,,
https://www.youtube.com/watch?v=J1MhMqYtcjM,,Android Programlama 9- SQLite ile Veritabanı oluşturma (Pelin Yüksel),,,,Tüm Düzeyler,,,,22,,
